entity	relation	tag
3159	taggedAs	9498
2165	music.artist.origin	4380
3082	film.film.language	9098
3655	music.artist.origin	3864
290	taggedAs	9656
862	taggedAs	11334
2494	film.person_or_entity_appearing_in_film.film	6247
2094	taggedAs	9989
1989	film.actor.film	4115
824	taggedAs	9394
2919	taggedAs	9452
1601	film.actor.film	4022
3598	film.actor.film	7217
3264	taggedAs	11176
1893	taggedAs	9491
2241	film.distributor.film	7850
267	taggedAs	11479
3132	film.actor.film	5847
66	taggedAs	17664
74	taggedAs	9718
2609	taggedAs	9494
3086	film.person_or_entity_appearing_in_film.film	4668
2554	taggedAs	9558
1754	taggedAs	9387
1707	taggedAs	9651
67	taggedAs	12921
1070	taggedAs	9965
1616	taggedAs	9751
52	taggedAs	9716
1972	taggedAs	19952
2070	taggedAs	9656
1473	film.actor.film	4761
1404	film.person_or_entity_appearing_in_film.film	7011
2359	film.actor.film	7110
1139	taggedAs	9382
39	film.actor.film	4920
2158	taggedAs	9543
2671	people.deceased_person.place_of_death	5270
2127	taggedAs	9437
3231	taggedAs	9449
87	taggedAs	10214
756	taggedAs	10722
1624	taggedAs	15526
1960	film.person_or_entity_appearing_in_film.film	6438
2745	taggedAs	9558
2636	film.person_or_entity_appearing_in_film.film	8539
80	taggedAs	10601
2711	film.person_or_entity_appearing_in_film.film	7298
2293	film.person_or_entity_appearing_in_film.film	7722
55	taggedAs	9377
538	film.actor.film	5973
950	taggedAs	9494
484	film.person_or_entity_appearing_in_film.film	7896
2368	music.artist.origin	6077
490	taggedAs	10190
1204	taggedAs	10859
1469	film.actor.film	7589
796	film.person_or_entity_appearing_in_film.film	3977
37	taggedAs	9443
1997	music.artist.origin	6911
2030	music.artist.origin	4010
2988	taggedAs	9413
3789	award.winner.awards_won	8386
534	taggedAs	9751
685	taggedAs	9716
1833	taggedAs	18626
2980	taggedAs	9670
190	taggedAs	14316
2344	film.person_or_entity_appearing_in_film.film	5614
2098	people.person.place_of_birth	5512
1730	taggedAs	9758
1319	taggedAs	9753
2241	film.production_company.film	6031
110	taggedAs	17862
14	music.artist.origin	4133
589	music.artist.origin	4977
1722	taggedAs	9369
3609	taggedAs	9396
3498	film.actor.film	4383
184	film.person_or_entity_appearing_in_film.film	9017
3713	taggedAs	15937
1996	taggedAs	9498
2382	taggedAs	9494
2241	film.distributor.film	9050
2765	taggedAs	9672
307	taggedAs	9811
3106	taggedAs	9397
2139	music.artist.origin	4183
2070	film.person_or_entity_appearing_in_film.film	3957
999	film.actor.film	6894
147	taggedAs	9389
3507	film.actor.film	6590
483	taggedAs	9534
2192	taggedAs	9660
98	taggedAs	17302
1057	taggedAs	10099
2639	taggedAs	11974
1794	taggedAs	9639
2488	taggedAs	17872
3598	film.person_or_entity_appearing_in_film.film	6132
363	taggedAs	9572
81	film.person_or_entity_appearing_in_film.film	4749
462	taggedAs	9909
206	film.actor.film	4728
754	taggedAs	9437
1579	taggedAs	10188
655	music.artist.origin	4272
2036	music.artist.origin	4552
156	taggedAs	18034
62	taggedAs	12898
3097	people.deceased_person.place_of_death	4768
487	taggedAs	9867
971	taggedAs	9425
3307	film.actor.film	8728
9	taggedAs	9382
1833	taggedAs	9443
1805	taggedAs	10471
445	taggedAs	10159
2149	taggedAs	9388
541	taggedAs	10471
509	taggedAs	9396
1530	taggedAs	9934
1750	film.person_or_entity_appearing_in_film.film	8087
2832	people.person.profession	8928
1496	taggedAs	9378
2604	taggedAs	9449
2241	film.distributor.film	8082
24	taggedAs	9382
1694	film.actor.film	5331
1323	film.actor.film	9181
988	music.artist.album	4893
985	taggedAs	9557
3764	people.person.place_of_birth	4768
1006	award.competitor.award_nominations	6621
2524	taggedAs	9656
1711	taggedAs	12900
910	taggedAs	9580
1650	taggedAs	21242
633	film.actor.film	6691
472	taggedAs	18836
894	taggedAs	9494
777	film.person_or_entity_appearing_in_film.film	6184
1541	taggedAs	16161
277	taggedAs	9389
2354	music.artist.origin	4635
1234	taggedAs	21298
987	film.actor.film	4719
232	film.person_or_entity_appearing_in_film.film	7121
115	taggedAs	9403
2080	film.person_or_entity_appearing_in_film.film	8983
3380	music.artist.origin	4024
874	taggedAs	16552
5	taggedAs	9929
894	film.person_or_entity_appearing_in_film.film	7233
213	taggedAs	9983
273	taggedAs	9876
272	taggedAs	9877
522	taggedAs	9668
1523	taggedAs	9436
3446	film.person_or_entity_appearing_in_film.film	7578
984	music.musician.instruments_played	5558
2921	taggedAs	10077
1237	music.artist.origin	5181
77	film.actor.film	6250
2764	taggedAs	13627
1465	film.actor.film	6721
192	taggedAs	11334
3375	taggedAs	9545
3352	taggedAs	21162
890	taggedAs	9639
3364	film.actor.film	5359
854	taggedAs	9494
3198	film.person_or_entity_appearing_in_film.film	7292
2360	film.person_or_entity_appearing_in_film.film	6337
2921	taggedAs	9454
3743	music.musician.instruments_played	5174
2478	taggedAs	9660
501	taggedAs	9381
796	taggedAs	10787
1015	taggedAs	9649
5	taggedAs	9425
2727	taggedAs	9378
862	film.person_or_entity_appearing_in_film.film	6655
307	taggedAs	10461
643	film.actor.film	6241
2490	music.artist.origin	6564
2010	film.actor.film	8633
3403	taggedAs	14308
1941	people.person.place_of_birth	4552
951	taggedAs	10057
2241	film.distributor.film	4299
137	taggedAs	9574
2282	taggedAs	10574
2448	taggedAs	9540
279	award.competitor.award_nominations	6603
2486	taggedAs	11206
1429	taggedAs	9716
2449	film.actor.film	8035
267	taggedAs	9570
3390	film.person_or_entity_appearing_in_film.film	7122
1806	film.person_or_entity_appearing_in_film.film	4025
19	taggedAs	9370
675	taggedAs	9656
1476	taggedAs	9811
3825	taggedAs	9382
735	taggedAs	9379
752	taggedAs	9378
13	taggedAs	9716
3395	film.actor.film	6297
40	taggedAs	9449
3320	taggedAs	19475
2636	film.person_or_entity_appearing_in_film.film	7538
906	taggedAs	9445
1962	film.person_or_entity_appearing_in_film.film	6712
189	film.actor.film	6883
3827	film.person_or_entity_appearing_in_film.film	5007
1358	film.actor.film	7988
1923	taggedAs	10460
866	taggedAs	10790
142	film.actor.film	7879
1750	film.person_or_entity_appearing_in_film.film	4902
2247	taggedAs	14468
1157	film.actor.film	4052
3766	taggedAs	9454
1800	music.artist.origin	4362
1200	taggedAs	9403
2225	music.artist.origin	4369
2514	taggedAs	10099
210	taggedAs	9442
516	taggedAs	9445
2396	taggedAs	9595
3041	music.artist.origin	7043
356	music.artist.track	5604
207	taggedAs	9388
261	film.person_or_entity_appearing_in_film.film	5198
3220	taggedAs	18802
210	taggedAs	9437
197	taggedAs	11176
1855	taggedAs	9445
3206	taggedAs	9437
187	taggedAs	10083
2539	taggedAs	11275
2341	film.actor.film	5318
166	music.musician.instruments_played	4430
3627	music.artist.origin	4057
3545	taggedAs	9769
2411	film.person_or_entity_appearing_in_film.film	8176
890	taggedAs	11561
250	taggedAs	9750
868	taggedAs	9448
3759	music.artist.origin	3961
1236	taggedAs	9934
87	taggedAs	9494
453	taggedAs	9498
3165	taggedAs	9437
658	taggedAs	10616
2838	taggedAs	9467
1981	film.actor.film	4831
1454	music.album.genre	6212
779	event.agent.performance	4035
956	taggedAs	9811
660	taggedAs	21394
3353	music.artist.origin	4167
512	taggedAs	9574
389	taggedAs	9656
1122	taggedAs	17007
1709	taggedAs	9734
1065	taggedAs	11099
1391	taggedAs	9649
2241	film.production_company.film	5435
2636	film.person_or_entity_appearing_in_film.film	5852
793	film.person_or_entity_appearing_in_film.film	5821
2644	taggedAs	9494
3428	film.actor.film	6685
2636	film.actor.film	6437
2241	film.production_company.film	6147
206	film.actor.film	4106
61	taggedAs	9498
668	taggedAs	15992
2630	film.person_or_entity_appearing_in_film.film	6470
1154	film.actor.film	4244
1528	taggedAs	9577
774	film.person_or_entity_appearing_in_film.film	4538
124	taggedAs	13174
241	film.person_or_entity_appearing_in_film.film	8257
674	film.actor.film	7402
2068	taggedAs	9708
1047	taggedAs	9448
1707	film.actor.film	5810
496	taggedAs	10251
2096	taggedAs	9472
2021	taggedAs	9660
1893	taggedAs	9531
134	taggedAs	9494
377	film.actor.film	6462
1717	taggedAs	12941
151	taggedAs	13017
361	taggedAs	12004
3295	film.actor.film	7435
2125	film.actor.film	4119
161	taggedAs	9555
127	taggedAs	11035
2359	film.person_or_entity_appearing_in_film.film	6742
2666	taggedAs	9663
1931	music.artist.origin	4057
1322	taggedAs	10187
28	taggedAs	10324
2241	film.distributor.film	6312
1473	film.person_or_entity_appearing_in_film.film	8280
341	film.film.star	5388
1646	taggedAs	9491
3688	film.person_or_entity_appearing_in_film.film	4001
1057	taggedAs	9444
3673	taggedAs	11561
250	taggedAs	9491
2994	taggedAs	9389
2455	music.artist.origin	3897
1389	taggedAs	10006
866	taggedAs	12090
791	taggedAs	12922
616	taggedAs	9443
956	taggedAs	9728
3165	people.person.place_of_birth	8468
451	award.winner.awards_won	6182
1346	taggedAs	9683
1174	taggedAs	10440
2475	film.person_or_entity_appearing_in_film.film	7997
358	taggedAs	9434
901	film.director.film	5429
2215	taggedAs	9556
2304	music.artist.origin	4852
128	film.person_or_entity_appearing_in_film.film	8435
1655	taggedAs	9389
694	taggedAs	10448
279	film.actor.film	5479
2241	film.distributor.film	6817
681	people.person.profession	4221
2241	film.distributor.film	4403
1996	taggedAs	9494
13	taggedAs	9939
74	taggedAs	10188
2	taggedAs	9505
308	music.artist.album	4259
473	taggedAs	10355
1396	taggedAs	9437
1400	film.person_or_entity_appearing_in_film.film	4911
2241	film.production_company.film	4684
3598	people.person.place_of_birth	3866
2217	film.actor.film	4331
3709	taggedAs	9449
128	film.person_or_entity_appearing_in_film.film	6538
2004	music.artist.origin	4362
1989	film.actor.film	4007
2669	film.person_or_entity_appearing_in_film.film	6322
159	taggedAs	10798
1800	taggedAs	9545
81	taggedAs	9728
1473	film.person_or_entity_appearing_in_film.film	5316
719	taggedAs	10587
286	taggedAs	9451
3206	taggedAs	9388
3204	film.person_or_entity_appearing_in_film.film	4967
196	taggedAs	10898
1703	taggedAs	12922
26	taggedAs	9438
2453	taggedAs	9934
1756	taggedAs	9448
1545	taggedAs	9451
1651	taggedAs	17667
2217	taggedAs	10193
3204	film.person_or_entity_appearing_in_film.film	9164
2042	taggedAs	10214
1505	film.actor.film	7213
2492	taggedAs	9433
2279	taggedAs	9574
3821	film.actor.film	6103
3439	music.artist.origin	4199
75	taggedAs	9668
151	taggedAs	9397
1949	taggedAs	17161
644	film.person_or_entity_appearing_in_film.film	6109
1214	taggedAs	9368
2914	film.actor.film	6135
316	taggedAs	9425
3009	taggedAs	12941
263	taggedAs	10721
2214	film.person_or_entity_appearing_in_film.film	3886
1452	music.artist.origin	3864
2498	taggedAs	9673
293	taggedAs	13894
261	music.artist.track	5641
567	film.person_or_entity_appearing_in_film.film	6562
2037	music.artist.origin	6760
1105	taggedAs	9551
3559	taggedAs	9473
2685	people.deceased_person.place_of_death	8586
263	taggedAs	11329
2241	film.production_company.film	8273
655	taggedAs	18248
1201	taggedAs	9673
377	taggedAs	10148
26	taggedAs	11222
2374	people.person.place_of_birth	4347
2643	film.person_or_entity_appearing_in_film.film	4795
3584	taggedAs	9371
1738	taggedAs	9437
740	taggedAs	9750
2839	music.artist.origin	3986
1101	music.artist.origin	5160
1224	taggedAs	16650
413	taggedAs	9660
3247	taggedAs	9436
555	taggedAs	9440
1265	taggedAs	9445
1624	film.actor.film	4846
2870	film.person_or_entity_appearing_in_film.film	7329
1552	taggedAs	9455
2692	taggedAs	9909
2747	music.artist.album	7418
2385	music.artist.origin	4150
3738	games.publisher.games_published	5954
1748	taggedAs	9436
764	taggedAs	9445
2777	taggedAs	9448
1569	taggedAs	9498
202	people.person.place_of_birth	4133
2976	taggedAs	9403
671	taggedAs	9388
1153	film.person_or_entity_appearing_in_film.film	9170
2241	film.production_company.film	4132
1612	taggedAs	12616
2058	taggedAs	9445
795	film.person_or_entity_appearing_in_film.film	4846
3133	music.artist.origin	3846
516	taggedAs	9452
1110	taggedAs	9494
155	taggedAs	9379
66	taggedAs	21385
2241	film.production_company.film	8421
2025	taggedAs	10721
107	taggedAs	9448
1012	music.artist.origin	3932
260	taggedAs	10253
128	taggedAs	9531
3838	taggedAs	10190
1244	taggedAs	10145
1943	film.person_or_entity_appearing_in_film.film	9287
3079	music.artist.origin	8718
254	taggedAs	9413
882	music.artist.origin	6349
1794	taggedAs	10271
1092	taggedAs	9602
1187	film.person_or_entity_appearing_in_film.film	8701
66	film.actor.film	4070
445	taggedAs	13246
1312	taggedAs	10091
1218	taggedAs	21242
2256	taggedAs	9543
550	taggedAs	10403
348	taggedAs	9389
2660	taggedAs	9757
1122	taggedAs	9436
3451	taggedAs	9388
850	taggedAs	10991
259	music.artist.origin	3864
1048	taggedAs	9445
2727	taggedAs	19854
2322	taggedAs	12090
1236	taggedAs	9398
480	taggedAs	10616
2079	film.person_or_entity_appearing_in_film.film	5764
3106	film.actor.film	7432
934	taggedAs	10842
171	taggedAs	9683
2023	taggedAs	19951
2372	music.artist.album	5322
3269	taggedAs	9751
1577	taggedAs	9595
932	taggedAs	9389
1080	taggedAs	9382
1732	taggedAs	9716
1393	taggedAs	9753
190	taggedAs	14211
356	film.actor.film	9160
2241	film.production_company.film	5382
2073	taggedAs	9541
3120	film.actor.film	7314
502	taggedAs	9389
3175	music.artist.origin	4419
1414	taggedAs	9382
3481	taggedAs	9724
3738	games.publisher.games_published	4678
1665	music.artist.origin	3864
695	taggedAs	9437
1567	film.actor.film	4323
57	taggedAs	9382
528	taggedAs	10157
2050	film.person_or_entity_appearing_in_film.film	4487
1674	taggedAs	9443
2241	film.distributor.film	4569
2466	music.artist.origin	4583
73	people.person.place_of_birth	4369
2241	film.production_company.film	5547
184	film.actor.film	8268
415	music.artist.origin	4347
1752	taggedAs	9656
2967	film.actor.film	6375
2241	film.distributor.film	5864
353	taggedAs	9485
74	taggedAs	9864
508	taggedAs	11749
385	film.person_or_entity_appearing_in_film.film	5308
2635	film.person_or_entity_appearing_in_film.film	6522
235	taggedAs	11560
2756	taggedAs	9547
1033	music.artist.origin	7748
1302	taggedAs	9546
1855	taggedAs	18835
1023	taggedAs	9629
1475	film.actor.film	7821
2270	taggedAs	9394
2058	taggedAs	9494
715	taggedAs	9443
3706	film.actor.film	5549
260	taggedAs	9559
252	taggedAs	9602
567	film.actor.film	8636
2074	taggedAs	17007
1153	film.person_or_entity_appearing_in_film.film	4181
2719	music.artist.origin	7675
964	taggedAs	11972
2924	taggedAs	9656
2535	taggedAs	9449
590	taggedAs	12903
3723	music.artist.origin	3956
2643	taggedAs	9796
356	taggedAs	9570
3784	film.director.film	7061
3179	film.person_or_entity_appearing_in_film.film	9216
1479	film.person_or_entity_appearing_in_film.film	7240
1278	award.competitor.award_nominations	7450
80	taggedAs	9454
3539	taggedAs	9559
989	taggedAs	9872
1385	taggedAs	9442
785	taggedAs	13627
418	film.person_or_entity_appearing_in_film.film	7858
2194	taggedAs	10188
2206	film.actor.film	5552
143	taggedAs	9613
287	taggedAs	9394
650	taggedAs	9436
62	taggedAs	12907
2475	film.person_or_entity_appearing_in_film.film	9313
3457	music.artist.origin	4094
2594	music.artist.origin	3864
1276	taggedAs	9555
3495	taggedAs	9751
2913	film.person_or_entity_appearing_in_film.film	5022
1538	music.artist.origin	7370
1623	taggedAs	15526
1821	taggedAs	9656
2483	film.person_or_entity_appearing_in_film.film	8736
474	taggedAs	10811
1660	taggedAs	9580
456	taggedAs	15535
3187	music.artist.origin	4732
49	film.person_or_entity_appearing_in_film.film	7092
796	taggedAs	12916
3363	film.actor.film	4446
207	taggedAs	9806
2359	film.person_or_entity_appearing_in_film.film	7865
681	film.actor.film	5710
633	film.person_or_entity_appearing_in_film.film	7697
685	taggedAs	9559
777	film.person_or_entity_appearing_in_film.film	8235
2524	taggedAs	9751
88	taggedAs	9403
255	taggedAs	11035
865	taggedAs	9890
572	taggedAs	9382
2270	taggedAs	9449
1592	taggedAs	15814
2682	film.actor.film	7773
1180	taggedAs	9545
1114	taggedAs	9639
3003	taggedAs	10094
70	film.person_or_entity_appearing_in_film.film	8822
437	film.person_or_entity_appearing_in_film.film	6811
2793	music.artist.origin	7681
2024	taggedAs	9971
134	taggedAs	9545
2122	film.actor.film	5447
1162	taggedAs	9750
216	taggedAs	9983
2712	type.object.key	2712
48	taggedAs	9498
1614	film.person_or_entity_appearing_in_film.film	5821
32	taggedAs	9380
1664	taggedAs	22006
361	award.competitor.award_nominations	9295
1853	taggedAs	9392
2477	taggedAs	9491
75	taggedAs	9710
58	taggedAs	9467
3061	taggedAs	9469
628	film.person_or_entity_appearing_in_film.film	5026
2764	people.deceased_person.place_of_death	4013
1452	taggedAs	9668
192	music.producer.tracks_produced	6949
2402	film.person_or_entity_appearing_in_film.film	5835
484	film.actor.film	5424
3430	film.actor.film	6274
2694	taggedAs	9555
1431	taggedAs	9670
1277	taggedAs	21121
1650	taggedAs	15993
2465	music.artist.origin	4963
1406	taggedAs	9549
1023	taggedAs	10463
416	film.person_or_entity_appearing_in_film.film	3875
2147	taggedAs	11244
1001	music.artist.origin	6290
1078	taggedAs	9724
1981	film.actor.film	8419
52	film.actor.film	5533
3738	games.publisher.games_published	4138
856	taggedAs	9466
1473	film.actor.film	4684
901	film.actor.film	5377
3128	taggedAs	11222
2913	film.actor.film	7512
58	taggedAs	9649
1868	taggedAs	19186
2614	taggedAs	15727
1955	film.actor.film	6875
2047	taggedAs	9760
1282	taggedAs	10370
3317	film.person_or_entity_appearing_in_film.film	6566
608	taggedAs	9892
127	taggedAs	9380
2252	taggedAs	16619
42	taggedAs	9420
2613	music.artist.origin	4896
2189	film.actor.film	7201
782	taggedAs	9498
2275	film.person_or_entity_appearing_in_film.film	5786
99	music.artist.origin	4442
2090	taggedAs	10637
81	taggedAs	13647
1662	film.actor.film	7802
1421	taggedAs	9388
3599	film.person_or_entity_appearing_in_film.film	7336
2430	film.person_or_entity_appearing_in_film.film	5254
542	taggedAs	9437
1144	taggedAs	9649
1580	award.competitor.award_nominations	6452
2634	film.person_or_entity_appearing_in_film.film	5307
90	taggedAs	9437
354	taggedAs	9602
1360	film.actor.film	6645
1141	taggedAs	9989
2584	taggedAs	9443
2296	film.person_or_entity_appearing_in_film.film	5562
3254	taggedAs	9740
958	taggedAs	9378
48	taggedAs	15993
28	taggedAs	9875
1181	taggedAs	19186
2710	film.person_or_entity_appearing_in_film.film	7514
821	taggedAs	15536
1268	taggedAs	9380
492	film.person_or_entity_appearing_in_film.film	4657
2598	taggedAs	10523
1917	taggedAs	9388
419	taggedAs	9466
659	taggedAs	9541
1715	taggedAs	15183
361	taggedAs	10601
388	taggedAs	9437
785	film.actor.film	4922
263	music.artist.origin	4454
1991	taggedAs	10192
2299	taggedAs	9382
2189	taggedAs	9494
2422	film.actor.film	5312
125	music.artist.origin	7370
1391	taggedAs	12116
1639	taggedAs	9574
79	taggedAs	9592
275	taggedAs	16158
805	taggedAs	9389
3738	games.publisher.games_published	8063
3344	film.actor.film	7113
1692	taggedAs	9437
3784	film.producer.film	7061
1768	taggedAs	19898
1502	taggedAs	10190
1758	music.artist.origin	5265
3289	event.agent.performance	4949
1754	film.actor.film	7164
3537	taggedAs	9673
1356	film.person_or_entity_appearing_in_film.film	8319
2198	music.artist.origin	4453
1935	film.person_or_entity_appearing_in_film.film	7976
38	taggedAs	9454
1156	taggedAs	9382
484	taggedAs	9555
307	taggedAs	9397
3321	film.actor.film	7823
3570	taggedAs	9491
67	film.actor.film	6329
2060	music.artist.origin	8233
1252	music.artist.origin	3864
1277	taggedAs	17869
3804	taggedAs	9384
1794	taggedAs	9381
221	taggedAs	10322
2083	taggedAs	9388
2419	film.person_or_entity_appearing_in_film.film	5485
2913	film.actor.film	6464
2988	taggedAs	9548
2498	taggedAs	9382
1967	taggedAs	9377
2241	film.production_company.film	7421
1232	film.actor.film	6763
3640	taggedAs	9524
3575	music.artist.origin	3986
1469	film.person_or_entity_appearing_in_film.film	7936
2233	taggedAs	9544
205	taggedAs	9572
1675	taggedAs	9445
1191	taggedAs	9494
79	film.actor.film	4560
793	film.actor.film	5758
2241	film.distributor.film	8271
3799	taggedAs	9769
2538	taggedAs	9749
636	film.actor.film	7625
1353	film.person_or_entity_appearing_in_film.film	5249
1545	taggedAs	9388
1260	film.actor.film	5416
1904	taggedAs	11455
466	film.person_or_entity_appearing_in_film.film	6470
0	taggedAs	9597
2261	film.actor.film	8213
492	film.actor.film	7274
1103	taggedAs	9442
3448	taggedAs	9398
2577	film.person_or_entity_appearing_in_film.film	5126
61	taggedAs	9388
1807	taggedAs	9443
2451	taggedAs	9789
1387	people.person.place_of_birth	8349
2299	taggedAs	9378
75	taggedAs	9872
2083	taggedAs	10145
542	taggedAs	9403
3593	music.artist.origin	7194
645	film.actor.film	7463
3390	film.actor.film	8570
3160	film.person_or_entity_appearing_in_film.film	8661
52	taggedAs	11479
265	taggedAs	9380
1209	film.person_or_entity_appearing_in_film.film	6433
3784	film.writer.film	4601
1042	taggedAs	9716
2927	taggedAs	9449
1655	taggedAs	9548
1360	film.person_or_entity_appearing_in_film.film	5475
1812	music.musician.instruments_played	3959
2460	film.person_or_entity_appearing_in_film.film	5740
572	taggedAs	9388
2473	taggedAs	9593
2178	taggedAs	10271
1346	taggedAs	9437
2942	music.artist.origin	4808
1805	film.actor.film	7698
920	taggedAs	9443
1323	taggedAs	9498
2773	people.person.place_of_birth	6261
608	taggedAs	19949
3420	taggedAs	9377
2551	taggedAs	20055
1086	taggedAs	9549
154	taggedAs	19896
154	taggedAs	9445
2661	taggedAs	9485
2890	taggedAs	9445
505	taggedAs	11161
60	taggedAs	17229
1032	film.person_or_entity_appearing_in_film.film	5206
671	taggedAs	11479
1322	people.person.place_of_birth	4191
2571	taggedAs	9378
1315	film.person_or_entity_appearing_in_film.film	8318
1141	film.actor.film	9244
1249	film.person_or_entity_appearing_in_film.film	7774
1262	music.artist.origin	4999
2299	taggedAs	9450
171	taggedAs	9564
2811	people.person.place_of_birth	5009
158	taggedAs	9594
1417	taggedAs	9498
2867	film.actor.film	8857
240	taggedAs	9979
232	film.person_or_entity_appearing_in_film.film	7710
2089	taggedAs	9377
2035	film.person_or_entity_appearing_in_film.film	7064
3546	type.object.subject_key	3546
127	taggedAs	9438
2324	film.film.genre	3968
46	taggedAs	9443
2635	film.actor.film	6049
1088	taggedAs	10249
2711	film.person_or_entity_appearing_in_film.film	7267
104	taggedAs	9437
1153	film.actor.film	3890
1194	music.artist.origin	3849
1527	taggedAs	10188
385	film.person_or_entity_appearing_in_film.film	6152
1469	music.producer.tracks_produced	8315
192	taggedAs	9691
671	taggedAs	9498
2150	music.artist.origin	4216
1035	film.actor.film	7610
2226	taggedAs	9545
672	taggedAs	10203
1345	taggedAs	9437
496	taggedAs	10099
142	taggedAs	10193
3664	taggedAs	9445
1997	taggedAs	9545
746	taggedAs	9365
1232	film.person_or_entity_appearing_in_film.film	4653
264	taggedAs	9382
1364	taggedAs	10145
80	taggedAs	12550
1720	film.writer.film	8393
1796	film.person_or_entity_appearing_in_film.film	6138
3517	taggedAs	9990
777	film.actor.film	7232
1672	music.artist.album	9052
3598	film.actor.film	4667
1021	taggedAs	9438
431	taggedAs	11118
2453	music.artist.origin	3899
492	film.person_or_entity_appearing_in_film.film	8591
844	taggedAs	9385
1067	taggedAs	9488
2397	taggedAs	9979
757	film.actor.film	4645
356	taggedAs	12169
76	people.person.place_of_birth	7492
1461	taggedAs	9447
2508	music.artist.origin	4057
83	people.person.place_of_birth	4702
870	taggedAs	9365
672	film.actor.film	6978
274	people.person.place_of_birth	4362
2070	film.person_or_entity_appearing_in_film.film	7377
2683	people.person.place_of_birth	4521
3093	taggedAs	9379
2272	film.person_or_entity_appearing_in_film.film	5302
3498	film.person_or_entity_appearing_in_film.film	7039
54	taggedAs	9448
363	taggedAs	12064
3430	film.actor.film	9159
755	film.actor.film	6656
2122	film.actor.film	4837
552	film.person_or_entity_appearing_in_film.film	8988
13	taggedAs	9602
3762	music.artist.origin	5243
681	film.actor.film	4549
2635	film.actor.film	6082
131	taggedAs	9382
1465	film.actor.film	5889
507	taggedAs	9877
879	film.actor.film	8368
2489	taggedAs	9389
1683	taggedAs	10722
2030	taggedAs	9760
2332	taggedAs	9709
1708	taggedAs	12903
3738	games.publisher.games_published	6662
1668	taggedAs	11555
1260	taggedAs	9796
1621	music.artist.origin	4960
1590	taggedAs	9548
46	taggedAs	10157
1473	film.person_or_entity_appearing_in_film.film	8204
766	taggedAs	14320
413	taggedAs	9397
1792	taggedAs	9437
2070	film.person_or_entity_appearing_in_film.film	8978
3657	taggedAs	10004
1925	music.artist.origin	4057
1309	taggedAs	10234
66	taggedAs	9577
2190	taggedAs	10461
154	taggedAs	9443
3803	taggedAs	10461
37	taggedAs	11244
2097	film.person_or_entity_appearing_in_film.film	9121
2013	taggedAs	9445
818	film.person_or_entity_appearing_in_film.film	6999
486	taggedAs	11198
1399	taggedAs	10187
1036	taggedAs	9377
61	taggedAs	10189
3689	music.artist.origin	3972
155	film.person_or_entity_appearing_in_film.film	5879
408	taggedAs	9649
223	taggedAs	9649
1748	film.person_or_entity_appearing_in_film.film	7736
1262	film.person_or_entity_appearing_in_film.film	7757
209	taggedAs	10107
2175	taggedAs	9565
3717	people.person.place_of_birth	4639
3139	taggedAs	10193
2452	taggedAs	9551
507	taggedAs	9989
81	taggedAs	11098
191	music.artist.origin	4294
720	taggedAs	9443
2051	people.person.profession	4221
3772	film.film.genre	3981
2999	film.actor.film	7931
2815	taggedAs	9772
3598	film.actor.film	6531
1079	taggedAs	18795
230	taggedAs	9711
2682	taggedAs	9447
655	taggedAs	9420
3441	taggedAs	9445
2241	film.distributor.film	5818
876	taggedAs	16158
1036	taggedAs	10894
230	taggedAs	9382
354	taggedAs	9439
3049	film.actor.film	4260
1227	taggedAs	9396
646	film.person_or_entity_appearing_in_film.film	5025
2635	film.person_or_entity_appearing_in_film.film	6082
223	taggedAs	9577
1906	taggedAs	9368
66	taggedAs	12550
675	taggedAs	9580
2080	film.actor.film	5987
633	taggedAs	9672
2252	film.person_or_entity_appearing_in_film.film	9231
3628	games.game.publisher	4700
492	film.person_or_entity_appearing_in_film.film	8089
2233	music.artist.origin	4195
477	taggedAs	9494
1279	film.actor.film	7083
28	taggedAs	9388
3321	film.person_or_entity_appearing_in_film.film	8806
22	taggedAs	10070
776	taggedAs	10616
128	taggedAs	9592
766	taggedAs	9491
3827	film.person_or_entity_appearing_in_film.film	9261
2770	taggedAs	9556
2741	film.person_or_entity_appearing_in_film.film	4546
884	taggedAs	9757
196	taggedAs	12090
1337	taggedAs	12090
3814	taggedAs	9939
2199	taggedAs	9437
974	taggedAs	9494
3002	film.person_or_entity_appearing_in_film.film	6243
28	taggedAs	9485
3594	taggedAs	9494
1312	taggedAs	9397
1859	music.artist.origin	4183
1464	film.actor.film	8451
189	taggedAs	9574
2241	film.distributor.film	7019
3396	taggedAs	9656
474	taggedAs	9445
2056	music.artist.origin	3916
989	taggedAs	9751
2562	film.person_or_entity_appearing_in_film.film	5890
258	film.person_or_entity_appearing_in_film.film	7636
388	taggedAs	14650
3348	taggedAs	10716
3279	film.person_or_entity_appearing_in_film.film	6387
2908	music.artist.origin	7079
1088	taggedAs	13290
2168	taggedAs	10105
2880	film.actor.film	8859
127	taggedAs	17670
1803	taggedAs	9755
1289	taggedAs	9656
3655	taggedAs	9389
997	film.actor.film	8865
1294	taggedAs	10809
376	taggedAs	10353
1851	taggedAs	9491
3598	film.person_or_entity_appearing_in_film.film	8267
165	taggedAs	9593
660	taggedAs	9437
3507	music.artist.origin	4050
2635	film.person_or_entity_appearing_in_film.film	6253
1605	taggedAs	9380
2211	taggedAs	9548
2324	film.film.director	5574
1308	taggedAs	9469
205	film.actor.film	5011
